3WrFJ7ztbogyGnTHbHJFl2	The Beatles	0	85	2419607
22bE4uQ6baNwSHPVcDxLCe	The Rolling Stones	1	79	1805522
3oDbviiivRWhXwIE8hxkVV	The Beach Boys	1	71	571762
4STHEaNw4mPZ2tzheohgXB	Paul McCartney	1	73	675214
4x1nvY2FN8jxqAFA0DA02H	John Lennon	1	68	405727
7FIoB5PHdrMZVC3q2HE5MS	George Harrison	1	64	161197
22WZ7M8sxp5THdruNY3gXt	The Doors	2	73	1064403
776Uo845nYHJpNaStv1Ds4	Jimi Hendrix	2	73	894990
1SQRv42e4PjEYfPhS0Tk9E	The Kinks	2	67	322934
67ea9eGLXYMsO2eYQRui3w	The Who	2	70	627883
3ICflSq6ZgYAIrm2CTkfVP	The Animals	2	65	188906
2VIoWte1HPDbZ2WqHd2La7	The Turtles	2	59	54125
1PCZpxHJz7WAMF8EEq8bfc	The Byrds	2	57	83163
320EPCSEezHt1rtbfwH6Ck	The Monkees	2	61	100331
4Q82S0VzF8qlCb4PnSDurj	Brian Wilson	2	45	20809
6waa8mKu91GjzD4NlONlNJ	The Hollies	2	59	81375
4pJCawaKSZ40EnxN0YEYw3	Badfinger	2	47	20561
3sFhA6G1N0gG1pszb6kk1m	Wings	2	61	51842
6DbJi8AcN5ANdtvJcwBSw8	Ringo Starr	2	47	54401
3RTzAwFprBqiskp550eSJX	Harry Nilsson	2	58	48863
3bTAaMx9nf237AkBnGw3vL	Jeff Lynne	2	40	14292
1QB4oo4JbSRdxNyidIuD0W	Jim Morrison	3	49	44045
1nJvji2KIlWSseXRSlNYsC	The Velvet Underground	3	63	303955
2qFr8w5sWUITRlzZ9kZotF	Jefferson Airplane	3	60	175026
74oJ4qxwOZvX6oSsu1DGnw	Cream	3	63	221621
2lxX1ivRYp26soIavdG9bX	The Yardbirds	3	51	60649
5fsDcuclIe8ZiBD5P787K1	Stevie Ray Vaughan	3	65	310913
1YqGsKpdixxSVgpfaL2AEQ	Small Faces	3	47	32326
24Wa5wIZIo1sPkzVGP0B5p	Pete Townshend	3	48	20729
3i9hP422d2KMjaupTzBNVS	The Spencer Davis Group	3	50	18955
2kuNswDC82PL9xRbfaZJaS	The Association	3	42	11087
7CCn4PFRRRZF127jtCBAUe	The Lovin' Spoonful	3	53	33701
32HPpJAhgnGPT3V7UOggzi	Paul Revere & The Raiders	3	39	6758
2IU5UBup85LmAXh5U36DeC	The Grass Roots	3	41	9171
0rESpKEusFHxhW59MIf7eM	The Flying Burrito Brothers	3	41	14732
6vLlQYujOujIrm7zAKzEdG	Donovan	3	57	67507
040Bv6cZTRh30LyyYVXgJX	Gene Clark	3	36	6193
3eskO5m0H4yiF64vRySBjr	Buffalo Springfield	3	60	72827
01hRNr3yF5bYnPq4wZ88iI	Tommy James & The Shondells	3	49	17884
0Lpr5wXzWLtDWm1SjNbpPb	Todd Rundgren	3	50	29794
3M8NUieZuEOMs0Hf210w4n	Van Dyke Parks	3	27	3954
5gl6pfPwJ1coivVUMZPiS9	Dennis Wilson	3	33	4621
2VL8sLEJ6lHEwocjc1pN9w	The Tremeloes	3	39	7568
48YxSlb23RAaCd4RyHcV9V	Herman's Hermits	3	49	21540
57xdnSVt4ahJCIXYLieQ25	The Troggs	3	49	24384
4QmkLL9JOqM9dusHS1Hghe	The Searchers	3	44	12046
3UvcmAOZt64oKpP95f6MMM	Big Star	3	50	31812
7Kkx4dACo6kFSeT9wjfVA5	The Raspberries	3	49	4923
2hO4YtXUFJiUYS2uYFvHNK	Traveling Wilburys	3	51	29409
1gRNBaI4yn6wCCTvRhGWh8	Don McLean	3	61	73133
7jefIIksOi1EazgRTfW2Pk	Electric Light Orchestra	3	68	312423
1C4kZs9XyNnm9HWFng6ZFH	Justin Hayward	3	40	2820
3lHXm91pKLq9Sxi6CoRKWu	Roger Hodgson	3	39	11689
4NgfOZCL9Ml67xzM0xzIvC	Janis Joplin	4	65	433925
4J69yWrKwWJgjv3DKTZcGo	Big Brother & The Holding Company	4	54	20556
0vYkHhJ48Bs3jWcvZXvOrP	Patti Smith	4	57	150232
4BFMTELQyWJU1SwqcXMBm3	The Stooges	4	52	91902
5MWBg16f5UYiaSlyVhzlIW	John Cale	4	46	23616
0S7Zur2g8YhqlzqtlYStli	Television	4	49	52142
42TFhl7WlMRXiNqzSrnzPL	Lou Reed	4	66	334423
7DCnwoFMqGN6eZULdcLZeL	Quicksilver Messenger Service	4	35	11068
0a63dfrxBQKqh160P8iUNL	Country Joe & The Fish	4	34	9803
1WRM9i067hd2ujxxi8FI3m	Steppenwolf	4	62	89495
2rc78XDH9zuJP6bm78lU8Z	Derek & The Dominos	4	55	45126
7nkLRaWHImCvWGHdNGnhVE	Ten Years After	4	49	45080
5GUVj2b1lJ4DolQyHlzyaO	Blind Faith	4	43	25622
5U16QlMnlSAhkQxBZpLyLO	The Pretty Things	4	39	13454
1uFixbBAduJkFAeRKznkvW	Albert Collins	4	41	16905
5aygfDCEaX5KTZOxSCpT9o	Albert King	4	53	49155
2gCsNOpiBaMNh20jQ5prf0	Buddy Guy	4	55	114090
5dCuFngSPyOOnTAvrC7v2s	Freddie King	4	49	34197
2ODUxmFxJSyvGiimNhMHbO	Johnny Winter	4	50	51296
4WlSvDKaq1PA2Nr7cCIPxX	Stephen Stills	4	48	18884
3v4feUQnU3VEUqFrjmtekL	Faces	4	55	35939
5odf7hjI7hyvAw66tmxhGF	Roger Daltrey	4	38	5067
5BaHqGtf6UAZnHfqdPaTDA	Them	4	48	12321
5670CyWrIOA7702gNjsGMZ	Manfred Mann	4	49	21239
4ZSzroBNV7HzBDO9aohuF1	The Cowsills	4	36	3924
0XTxadWXVyfB8eTIYOjMYj	Gary Lewis & The Playboys	4	37	4321
