id	artist	level	popularity	followers	genre1	genre2	genre3	genre4	genre5
3WrFJ7ztbogyGnTHbHJFl2	The Beatles	0	85	2436793	british invasion	classic rock	merseybeat	protopunk	psychedelic rock
22bE4uQ6baNwSHPVcDxLCe	The Rolling Stones	1	79	1817978	album rock	british invasion	classic rock	folk rock	hard rock
3oDbviiivRWhXwIE8hxkVV	The Beach Boys	1	72	574350	album rock	brill building pop	classic rock	folk rock	mellow gold
4STHEaNw4mPZ2tzheohgXB	Paul McCartney	1	73	677370	album rock	classic rock	folk rock	mellow gold	pop christmas
4x1nvY2FN8jxqAFA0DA02H	John Lennon	1	68	408776	album rock	art rock	classic rock	folk	folk christmas
7FIoB5PHdrMZVC3q2HE5MS	George Harrison	1	64	162930	album rock	art rock	blues-rock	british blues	classic rock
22WZ7M8sxp5THdruNY3gXt	The Doors	2	73	1072550	album rock	classic rock	folk rock	hard rock	piano rock
776Uo845nYHJpNaStv1Ds4	Jimi Hendrix	2	73	902275	album rock	blues-rock	classic funk rock	classic rock	folk rock
1SQRv42e4PjEYfPhS0Tk9E	The Kinks	2	67	325112	album rock	alternative rock	art rock	blues-rock	british blues
67ea9eGLXYMsO2eYQRui3w	The Who	2	70	632170	album rock	art rock	blues-rock	british invasion	classic rock
3ICflSq6ZgYAIrm2CTkfVP	The Animals	2	65	191260	album rock	blues-rock	brill building pop	british blues	british invasion
2VIoWte1HPDbZ2WqHd2La7	The Turtles	2	59	54634	brill building pop	british blues	bubblegum pop	classic rock	folk rock
1PCZpxHJz7WAMF8EEq8bfc	The Byrds	2	57	84073	album rock	art rock	blues-rock	brill building pop	british blues
320EPCSEezHt1rtbfwH6Ck	The Monkees	2	61	101069	adult standards	boy band	brill building pop	british blues	bubblegum pop
6waa8mKu91GjzD4NlONlNJ	The Hollies	2	59	82177	adult standards	album rock	art rock	blues-rock	brill building pop
4Q82S0VzF8qlCb4PnSDurj	Brian Wilson	2	45	20951	brill building pop	folk rock	singer-songwriter
4pJCawaKSZ40EnxN0YEYw3	Badfinger	2	47	20813	album rock	blues-rock	brill building pop	british blues	bubblegum pop
3sFhA6G1N0gG1pszb6kk1m	Wings	2	61	52439	album rock	art rock	classic rock	folk	folk rock
6DbJi8AcN5ANdtvJcwBSw8	Ringo Starr	2	47	54928	album rock	brill building pop	british blues	bubblegum pop	classic rock
3RTzAwFprBqiskp550eSJX	Harry Nilsson	2	58	49157	adult standards	art rock	brill building pop	british blues	bubblegum pop
3bTAaMx9nf237AkBnGw3vL	Jeff Lynne	2	40	14411	classic rock	glam rock	mellow gold	soft rock
1nJvji2KIlWSseXRSlNYsC	The Velvet Underground	3	63	306195	alternative rock	art rock	classic rock	dance rock	folk
2lxX1ivRYp26soIavdG9bX	The Yardbirds	3	51	61530	album rock	art rock	blues	blues-rock	brill building pop
2qFr8w5sWUITRlzZ9kZotF	Jefferson Airplane	3	60	176774	album rock	blues-rock	classic rock	folk	folk rock
74oJ4qxwOZvX6oSsu1DGnw	Cream	3	63	223619	album rock	alternative rock	art rock	blues-rock	british blues
5fsDcuclIe8ZiBD5P787K1	Stevie Ray Vaughan	3	65	315201	album rock	blues-rock	classic rock	electric blues	hard rock
1YqGsKpdixxSVgpfaL2AEQ	Small Faces	3	47	32545	album rock	blues-rock	brill building pop	british blues	british invasion
24Wa5wIZIo1sPkzVGP0B5p	Pete Townshend	3	48	20978	album rock	art rock	blues-rock	british blues	classic rock
3i9hP422d2KMjaupTzBNVS	The Spencer Davis Group	3	51	19157	blues-rock	brill building pop	british blues	british invasion	bubblegum pop
2kuNswDC82PL9xRbfaZJaS	The Association	3	43	11301	adult standards	brill building pop	british blues	bubblegum pop	christmas
57xdnSVt4ahJCIXYLieQ25	The Troggs	3	49	24614	blues-rock	brill building pop	british blues	british invasion	bubblegum pop
7CCn4PFRRRZF127jtCBAUe	The Lovin' Spoonful	3	53	34035	brill building pop	bubblegum pop	classic rock	folk	folk rock
32HPpJAhgnGPT3V7UOggzi	Paul Revere & The Raiders	3	39	6983	blues-rock	brill building pop	british blues	bubblegum pop	classic garage rock
2IU5UBup85LmAXh5U36DeC	The Grass Roots	3	42	9384	brill building pop	british blues	bubblegum pop	classic garage rock	classic rock
6vLlQYujOujIrm7zAKzEdG	Donovan	3	57	68095	album rock	art rock	blues-rock	brill building pop	british blues
040Bv6cZTRh30LyyYVXgJX	Gene Clark	3	36	6245	alternative country	british folk	country rock	folk	folk rock
3eskO5m0H4yiF64vRySBjr	Buffalo Springfield	3	60	73622	blues-rock	british blues	classic rock	country rock	folk
01hRNr3yF5bYnPq4wZ88iI	Tommy James & The Shondells	3	50	18167	brill building pop	british blues	bubblegum pop	classic garage rock	classic rock
2VL8sLEJ6lHEwocjc1pN9w	The Tremeloes	3	39	7629	adult standards	brill building pop	british blues	british invasion	bubblegum pop
48YxSlb23RAaCd4RyHcV9V	Herman's Hermits	3	49	21827	adult standards	brill building pop	british blues	british invasion	bubblegum pop
4QmkLL9JOqM9dusHS1Hghe	The Searchers	3	44	12167	adult standards	brill building pop	british blues	british invasion	bubblegum pop
0Lpr5wXzWLtDWm1SjNbpPb	Todd Rundgren	3	50	30062	album rock	art rock	blues-rock	brill building pop	british blues
3M8NUieZuEOMs0Hf210w4n	Van Dyke Parks	3	27	3970
5gl6pfPwJ1coivVUMZPiS9	Dennis Wilson	3	34	4641	country rock	folk rock	roots rock	singer-songwriter
3UvcmAOZt64oKpP95f6MMM	Big Star	3	50	32018	alternative country	alternative pop	alternative rock	anti-folk	art rock
7Kkx4dACo6kFSeT9wjfVA5	The Raspberries	3	49	4998	bubblegum pop	jangle pop	power pop	pub rock
2hO4YtXUFJiUYS2uYFvHNK	Traveling Wilburys	3	51	30187	album rock	classic rock	folk rock	mellow gold	rock
1gRNBaI4yn6wCCTvRhGWh8	Don McLean	3	61	73655	adult standards	brill building pop	classic rock	folk	folk christmas
7jefIIksOi1EazgRTfW2Pk	Electric Light Orchestra	3	68	314323	album rock	art rock	bow pop	classic rock	dance rock
1C4kZs9XyNnm9HWFng6ZFH	Justin Hayward	3	40	2850	art rock	mellow gold	progressive rock	soft rock	symphonic rock
3lHXm91pKLq9Sxi6CoRKWu	Roger Hodgson	3	39	11814	album rock	art rock	mellow gold	progressive rock	soft rock
0vYkHhJ48Bs3jWcvZXvOrP	Patti Smith	4	57	151307	alternative rock	art rock	classic rock	dance rock	folk
4BFMTELQyWJU1SwqcXMBm3	The Stooges	4	52	92722	alternative rock	blues-rock	classic funk rock	classic rock	dance rock
5MWBg16f5UYiaSlyVhzlIW	John Cale	4	47	23840	art rock	british folk	chamber pop	country rock	dance rock
0S7Zur2g8YhqlzqtlYStli	Television	4	49	52649	alternative rock	anti-folk	art rock	classic rock	dance rock
42TFhl7WlMRXiNqzSrnzPL	Lou Reed	4	66	336452	album rock	alternative rock	art rock	blues-rock	classic rock
5U16QlMnlSAhkQxBZpLyLO	The Pretty Things	4	39	13580	art rock	blues-rock	british blues	british folk	british invasion
5GUVj2b1lJ4DolQyHlzyaO	Blind Faith	4	43	25992	album rock	blues	blues-rock	british blues	classic rock
4J69yWrKwWJgjv3DKTZcGo	Big Brother & The Holding Company	4	54	20801	blues-rock	classic rock	electric blues	folk rock	psychedelic rock
7DCnwoFMqGN6eZULdcLZeL	Quicksilver Messenger Service	4	35	11233	blues-rock	british blues	canterbury scene	classic garage rock	classic rock
0a63dfrxBQKqh160P8iUNL	Country Joe & The Fish	4	35	9999	blues-rock	classic garage rock	classic rock	country rock	folk rock
2rc78XDH9zuJP6bm78lU8Z	Derek & The Dominos	4	55	45674	album rock	blues	blues-rock	british blues	chicago blues
1WRM9i067hd2ujxxi8FI3m	Steppenwolf	4	62	90871	album rock	blues-rock	british blues	classic rock	electric blues
7nkLRaWHImCvWGHdNGnhVE	Ten Years After	4	49	45517	album rock	art rock	blues	blues-rock	british blues
1uFixbBAduJkFAeRKznkvW	Albert Collins	4	41	17157	acoustic blues	blues	blues-rock	british blues	chicago blues
5aygfDCEaX5KTZOxSCpT9o	Albert King	4	53	49835	acoustic blues	blues	blues-rock	british blues	chicago blues
2gCsNOpiBaMNh20jQ5prf0	Buddy Guy	4	55	115374	acoustic blues	album rock	blues	blues-rock	chicago blues
5dCuFngSPyOOnTAvrC7v2s	Freddie King	4	49	34729	acoustic blues	blues	blues-rock	british blues	chicago blues
2ODUxmFxJSyvGiimNhMHbO	Johnny Winter	4	50	51915	acoustic blues	album rock	blues	blues-rock	british blues
5BaHqGtf6UAZnHfqdPaTDA	Them	4	48	12445	blues-rock	british blues	british invasion	bubblegum pop	classic garage rock
4WlSvDKaq1PA2Nr7cCIPxX	Stephen Stills	4	48	19183	blues-rock	british blues	british folk	classic rock	country blues
3v4feUQnU3VEUqFrjmtekL	Faces	4	55	36213	album rock	art rock	blues	blues-rock	british blues
5odf7hjI7hyvAw66tmxhGF	Roger Daltrey	4	38	5128	album rock	classic rock	mellow gold	rock	soft rock
5670CyWrIOA7702gNjsGMZ	Manfred Mann	4	48	21410	blues-rock	brill building pop	british blues	british invasion	bubblegum pop
4ZSzroBNV7HzBDO9aohuF1	The Cowsills	4	37	3924	brill building pop	bubblegum pop	classic garage rock	folk rock	merseybeat
0XTxadWXVyfB8eTIYOjMYj	Gary Lewis & The Playboys	4	38	4419	adult standards	brill building pop	british invasion	bubblegum pop	christmas
4zmxet3ZPdSmL3Xyv1Wegb	The Buckinghams	4	31	2544	brill building pop	bubblegum pop	classic garage rock	folk rock	merseybeat
5X3TuTi9OIsJXMGxPwTKM2	The Young Rascals	4	41	4471	brill building pop	bubblegum pop	classic garage rock	classic rock	folk rock
4DQj1q0unpi9KF8jO1Wqks	The Beau Brummels	4	30	2757	brill building pop	british blues	bubblegum pop	classic garage rock	classic rock
3Q6OOkfssqoMSTtl11J5Uk	Love	4	49	32163	art rock	blues-rock	brill building pop	british blues	british folk
59zdhVoWxSoHMc74n098Re	David Crosby	4	50	14126	art rock	blues-rock	british blues	british folk	classic rock
4O8NcI06slOnzcloI95qfe	John Phillips	4	22	860	country rock	folk rock	roots rock
3ExrAwcOqgGjt9kFRwdM76	Roger McGuinn	4	42	3037	british blues	british folk	country rock	folk	folk rock
0rESpKEusFHxhW59MIf7eM	The Flying Burrito Brothers	4	41	14851	alternative country	blues-rock	classic rock	country rock	folk
3QcM2tU8CDY3LyzvwCj1CI	Dillard & Clark	4	21	920	country rock	roots rock
2E6Roj0oQnJIm2BeXwDica	Graham Nash	4	49	16002	blues-rock	british blues	british folk	classic rock	country rock
2pdvghEHZJtgSXZ7cvNLou	Crosby, Stills & Nash	4	58	119521	album rock	art rock	blues-rock	british blues	classic rock
5gNduPlUGHsgy1w7f71obH	The Swinging Blue Jeans	4	37	2932	brill building pop	british blues	british invasion	bubblegum pop	classic garage rock
3UmBeGyNwr4iDWi1vTxWi8	Gerry & The Pacemakers	4	47	14780	adult standards	brill building pop	british blues	british invasion	bubblegum pop
1wCc2Wgga1H8C7u57pcqYk	Freddie & The Dreamers	4	30	2796	brill building pop	british invasion	bubblegum pop	merseybeat	rock-and-roll
41qTjISnBzDLRlrJEJNGKj	The Merseybeats	4	25	1684	british invasion	bubblegum pop	merseybeat	rock-and-roll
3qL4moFMePG5zA87tLcCOM	Billy J. Kramer	4	34	1334	adult standards	brill building pop	british blues	british invasion	bubblegum pop
3BqaUtuQmqIHg7B5Bc7fP7	Nick Lowe	4	46	21690	alternative country	art rock	country rock	dance rock	folk
46njgd2Rq9tZc4ZjeQMgbh	Boz Scaggs	4	53	39280	adult standards	album rock	blues-rock	british blues	classic funk rock
04tBaW21jyUfeP5iqiKBVq	Scott Walker	4	43	24731	ambient	art rock	british folk	canterbury scene	chamber pop
1yap1SgRPMxgyfrrDlQ95y	Emitt Rhodes	4	37	3363	country rock	jangle pop	power pop	pub rock
04zDwTMN8SPPydYIfSeFYf	Carl Wilson	4	15	431
3yesh1QeNXucaDFw8ZPKxd	Flamin' Groovies	4	39	8011	blues-rock	british blues	classic garage rock	classic rock	country rock
5UDDnXpPNuL91XxNJLX47f	Chris Bell	4	30	3060	country rock	jangle pop	power pop
1CYmYyxlWBVY80Kvq5lTDg	The dB's	4	31	3658	alternative pop	alternative rock	c86	indie christmas	jangle pop
7CW5MYWUsyUYiHbiTmVZHe	Alex Chilton	4	34	4707	country rock	experimental	experimental rock	garage rock	indie christmas
3oFRpiLvaflFOVNxvsLrze	The Records	4	24	1090	jangle pop	power pop	pub rock
0ShV0veaBj1NvWRORhuwlI	The Rubinoos	4	23	1066	jangle pop	power pop	pub rock	underground power pop
6IpcPRU1kV0J58kd2w8vSC	Dwight Twilley Band	4	32	1789	jangle pop	power pop	pub rock
2UZMlIwnkgAEDBsw1Rejkn	Tom Petty	4	65	200589	album rock	alternative rock	blues-rock	classic rock	folk
4tX2TplrkIP4v05BNC903e	Tom Petty and the Heartbreakers	4	65	261787	album rock	alternative rock	blues-rock	classic rock	electric blues
0vn7UBvSQECKJm2817Yf1P	James Taylor	4	66	256619	adult standards	classic rock	folk	folk christmas	folk rock
1R6Hx1tJ2VOUyodEpC12xM	Jim Croce	4	60	93121	adult standards	album rock	classic rock	folk	folk rock
23rleGXVOVVgTk3xgtmfE4	Gordon Lightfoot	4	55	49759	album rock	brill building pop	bubblegum pop	canadian country	canadian pop
42q4Ivs7tAiCZ5C7eG5q4c	Harry Chapin	4	50	20549	folk	folk rock	mellow gold	singer-songwriter	soft rock
6kEsKkXuE4olX7m3mNLZkS	Art Garfunkel	4	50	21998	adult standards	brill building pop	folk	folk christmas	folk rock
2m62cc253Xvd9qYQ8d2X3d	The Alan Parsons Project	4	59	130169	album rock	art rock	classic rock	dance rock	mellow gold
6i6WlGzQtXtz7GcC5H5st5	10cc	4	58	61608	album rock	art rock	british blues	classic rock	dance rock
3JsMj0DEzyWc0VDlHuy9Bx	Supertramp	4	66	311147	album rock	art rock	classic rock	glam rock	hard rock
0DW7boyjvbaSP3OJ72sXgC	Al Stewart	4	48	20517	album rock	art rock	folk	folk rock	mellow gold
5BcZ22XONcRoLhTbZRuME1	The Moody Blues	4	58	107814	album rock	art rock	blues-rock	british blues	british invasion
5o1To8xDQy2hlFU4AoyRFf	John Lodge	4	26	648
0GoR8CuoikLD53GNMZUGHN	Tony Banks	4	26	2612	album rock	art rock	canterbury scene	neo-progressive	progressive rock
